,title,rating,genre,release_date,ranking,director,cast,budget,runtime,cum_worldwide_gross
87,The Nun ,,,7 September 2018,5.5,Corin Hardy,Demián Bichir;Taissa Farmiga;Jonas Bloquet;Bonnie Aarons;Ingrid Bisu;Patrick Wilson;Vera Farmiga;Lili Taylor;Charlotte Hope;Sandra Teles;Maria Obretin;August Maturo;Jack Falk;Lynnette Gaza;Ani Sava,22000000,96,360045963
88,Instant Family ,PG,"Comedy; 
Drama",16 November 2018,7.6,Sean Anders,Mark Wahlberg;Rose Byrne;Isabela Moner;Gustavo Quiroz;Julianna Gamiz;Octavia Spencer;Tig Notaro;Tom Segura;Allyn Rachel;Britt Rentschler;Jody Thompson;Margo Martindale;Julie Hagerty;Michael O'Keefe;Joan Cusack,48000000,118,71343574
89,Hellboy ,,"Action; 
Fantasy; 
Horror",2 April 2004,6.9,Guillermo del Toro,Ron Perlman;John Hurt;Selma Blair;Rupert Evans;Karel Roden;Jeffrey Tambor;Doug Jones;Brian Steele;Ladislav Beran;Biddy Hodson;Corey Johnson;Kevin Trainor;Brian Caspe;James Babson;Stephen Fisher,66000000,122,99414250
90,It: Chapter Two ,,,6 September 2019,,Andy Muschietti,Jessica Chastain;James McAvoy;Bill Skarsgård;Sophia Lillis;Bill Hader;Finn Wolfhard;Xavier Dolan;Jay Ryan;Jess Weixler;Jack Dylan Grazer;Jaeden Lieberher;Javier Botet;James Ransone;Jeremy Ray Taylor;Jake Weary,,,
91,Ant-Man and the Wasp ,PG,"Action; 
Adventure; 
Comedy",6 July 2018,7.2,Peyton Reed,Paul Rudd;Evangeline Lilly;Michael Peña;Walton Goggins;Bobby Cannavale;Judy Greer;T.I.;David Dastmalchian;Hannah John-Kamen;Abby Ryder Fortson;Randall Park;Michelle Pfeiffer;Laurence Fishburne;Michael Douglas;Divian Ladwa,162000000,118,617260330
92,The Holiday ,PG,"Comedy; 
Romance",8 December 2006,6.9,Nancy Meyers,Cameron Diaz;Kate Winslet;Jude Law;Jack Black;Eli Wallach;Edward Burns;Rufus Sewell;Miffy Englefield;Emma Pritchard;Sarah Parish;Shannyn Sossamon;Bill Macy;Shelley Berman;Kathryn Hahn;John Krasinski,85000000,138,205135324
93,A Christmas Story ,PG,"Comedy; 
Family",18 November 1983,8.0,Bob Clark,Melinda Dillon;Darren McGavin;Scott Schwartz;Jean Shepherd;Ian Petrella;Tedde Moore;R.D. Robb;Zack Ward;Yano Anaya;Jeff Gillen;Peter Billingsley;Colin Fox;Paul Hubbard;Leslie Carlson;Jim Hunter,3300000,94,
94,Under the Silver Lake ,,"Comedy; 
Crime; 
Drama",19 April 2019,6.4,David Robert Mitchell,Andrew Garfield;Wendy Vanden Heuvel;Deborah Geffner;Riley Keough;Riki Lindhome;Jeannine Cota;Chris Gann;Callie Hernandez;Jessica Makinson;Reese Hartwig;Izzie Coffey;Kayla DiVenere;Tucker Meek;Sky Elobar;Stephanie Moore,8500000,139,
95,John Wick: Chapter 3 ,,"Action; 
Crime; 
Thriller",17 May 2019,,Chad Stahelski,Keanu Reeves;Ian McShane;Jason Mantzoukas;Halle Berry;Laurence Fishburne;Hiroyuki Sanada;Asia Kate Dillon;Anjelica Huston;Robin Lord Taylor;Lance Reddick;Mark Dacascos;Kay Day;Faith Logan;Yayan Ruhian;Dana Schick,,,
96,Destroyer ,R,"Action; 
Crime; 
Drama",25 December 2018,6.7,Karyn Kusama,Nicole Kidman;Toby Kebbell;Tatiana Maslany;Sebastian Stan;Scoot McNairy;Bradley Whitford;Toby Huss;James Jordan;Beau Knapp;Jade Pettyjohn;Shamier Anderson;Zach Villa;Natalia Cordova-Buckley;Colby French;Kelvin Han Yee,9000000,120,
97,Hereditary ,,"Drama; 
Horror; 
Mystery",8 June 2018,7.3,Ari Aster,Alex Wolff;Gabriel Byrne;Toni Collette;Milly Shapiro;Christy Summerhays;Morgan Lund;Mallory Bechtel;Jake Brown;Harrison Nell;BriAnn Rachele;Heidi Méndez;Moises L. Tovar;Jarrod Phillips;Ann Dowd;Brock McKinney,10000000,127,79275328
98,Brightburn ,,,24 May 2019,,David Yarovesky,Elizabeth Banks;Meredith Hagner;David Denman;Matt Jones;Jennifer Holland;Jackson A. Dunn;Gregory Alan Williams;Becky Wahlstrom;Steve Agee;Christian Finlayson;Elizabeth Becka;Emmie Hunter;Stephen Blackehart;Terence Rosemore;Gwen Parrish,,,
99,The Irishman ,,,2019,,Martin Scorsese,Joe Pesci;Robert De Niro;Al Pacino;Jesse Plemons;Bobby Cannavale;Anna Paquin;Ray Romano;Harvey Keitel;Jack Huston;Stephen Graham;Natasha Romanova;Domenick Lombardozzi;Kathrine Narducci;Aleksa Palladino;Sebastian Maniscalco,125000000,,
