,babynysiis,perc_female,perc_male,gender
259,FAVAL,100.0,0.0,F
260,JANASADWAD,0.0,100.0,M
261,ETANJAN,0.0,100.0,M
262,JALAJ,0.0,100.0,M
263,PASAN,90.91,9.090000000000003,F
264,NATAL,79.49,20.510000000000005,F
265,TSATAN,0.0,100.0,M
266,CAFANCANG,0.0,100.0,M
267,ERNAST,42.86,57.14,M
268,RAGHN,66.67,33.33,F
269,MANDAS,100.0,0.0,F
270,JANJAS,0.0,100.0,M
271,ALANAT,100.0,0.0,F
272,JASNANAG,100.0,0.0,F
273,FAR,53.33,46.67,F
274,LALAJ,100.0,0.0,F
275,CADANAN,0.0,100.0,M
276,TALAC,42.86,57.14,M
277,INCAR,100.0,0.0,F
278,ENAJ,87.5,12.5,F
279,DANGAR,0.0,100.0,M
280,CAYAN,61.11,38.89,F
281,MCAFAR,0.0,100.0,M
282,ZAFRAN,33.33,66.67,M
283,GANTL,0.0,100.0,M
284,FLAV,33.33,66.67,M
285,QASAND,100.0,0.0,F
286,OLATANALAN,0.0,100.0,M
287,ANGL,62.5,37.5,F
288,RAVANT,0.0,100.0,M
289,DASADAR,0.0,100.0,M
290,BAVAR,0.0,100.0,M
291,VARSAND,100.0,0.0,F
292,SADARAN,0.0,100.0,M
293,CAFANJAN,0.0,100.0,M
294,HARSAV,0.0,100.0,M
295,ACANG,0.0,100.0,M
296,EVANSTAN,0.0,100.0,M
297,VASADAF,0.0,100.0,M
298,NACL,15.38,84.62,M
299,MATCAL,30.0,70.0,M
300,SCAPAR,0.0,100.0,M
301,MYAS,100.0,0.0,F
302,STRACY,100.0,0.0,F
303,CANTRY,0.0,100.0,M
304,ABARAJ,0.0,100.0,M
305,LAVARD,50.0,50.0,N
306,ATARAN,100.0,0.0,F
307,MAC,55.6,44.4,F
308,ALWALY,100.0,0.0,F
309,PRACAP,0.0,100.0,M
310,PARASCAF,66.67,33.33,F
311,CYT,50.0,50.0,N
312,ARTRAC,100.0,0.0,F
313,FARY,85.71,14.290000000000004,F
314,CARAST,100.0,0.0,F
315,EARNSTAN,100.0,0.0,F
316,YARDY,0.0,100.0,M
317,ETNY,100.0,0.0,F
318,BRACLY,100.0,0.0,F
319,EAFRAS,100.0,0.0,F
320,OACLY,50.0,50.0,N
321,RACHNAN,0.0,100.0,M
322,GLADY,71.43,28.569999999999997,F
323,CLASY,100.0,0.0,F
324,VALAC,70.0,30.0,F
325,JASRAL,33.33,66.67,M
326,EVARTAN,0.0,100.0,M
327,HYLAGH,100.0,0.0,F
328,LARANAR,66.67,33.33,F
329,HALAS,75.0,25.0,F
330,ENAT,27.78,72.22,M
331,ENPARATR,100.0,0.0,F
332,CALB,61.54,38.46,F
333,YALADY,100.0,0.0,F
334,ISANTH,0.0,100.0,M
335,TRANAN,16.0,84.0,M
336,SANDAC,100.0,0.0,F
337,CRASTLAN,100.0,0.0,F
338,ENPAR,100.0,0.0,F
339,HALAD,25.0,75.0,M
340,ARLASTAR,0.0,100.0,M
341,CARLASANTAN,0.0,100.0,M
342,LATRAL,41.67,58.33,M
343,SAG,60.71,39.29,F
344,ATWAD,0.0,100.0,M
345,ZANDAN,0.0,100.0,M
346,FRANC,50.0,50.0,N
347,ILYN,100.0,0.0,F
348,LAL,79.88,20.120000000000005,F
349,ADALAR,0.0,100.0,M
350,TSAR,100.0,0.0,F
351,JANVACTAR,0.0,100.0,M
352,FANAN,16.67,83.33,M
353,MANALV,100.0,0.0,F
354,LAFAD,37.5,62.5,M
355,SACHJAT,33.33,66.67,M
356,ORLAND,44.44,55.56,M
357,JANADARC,100.0,0.0,F
358,OCTYV,100.0,0.0,F
359,TANSAL,100.0,0.0,F
360,HAGHSTAN,0.0,100.0,M
361,IFATY,100.0,0.0,F
362,TRASN,100.0,0.0,F
363,TAYLAR,100.0,0.0,F
364,BATSHY,100.0,0.0,F
365,SACSAN,0.0,100.0,M
366,AGANVAR,0.0,100.0,M
367,ADAN,37.74,62.26,M
368,TAVAN,34.0,66.0,M
369,ACALY,50.0,50.0,N
370,TRYVAD,0.0,100.0,M
371,IRALAD,66.67,33.33,F
372,ANAJY,50.0,50.0,N
373,LANARAS,100.0,0.0,F
374,ABDANASAR,0.0,100.0,M
375,RAF,41.86,58.14,M
376,NAXSAL,100.0,0.0,F
377,PALAV,100.0,0.0,F
378,SARANGAL,100.0,0.0,F
379,MACARY,0.0,100.0,M
380,ANBARAS,100.0,0.0,F
381,ISNAL,13.33,86.67,M
382,BRANTWAD,0.0,100.0,M
383,SADANTH,0.0,100.0,M
384,CALAND,100.0,0.0,F
385,HAPALAT,50.0,50.0,N
386,TANPARANC,100.0,0.0,F
387,FADAR,40.0,60.0,M
388,DAFANC,0.0,100.0,M
389,ZALAG,50.0,50.0,N
390,MANTRAL,14.29,85.71000000000002,M
391,GLANWAD,0.0,100.0,M
392,IHSAN,50.0,50.0,N
393,FLY,71.43,28.569999999999997,F
394,ARADHY,0.0,100.0,M
395,JASANDAP,0.0,100.0,M
396,CLALAD,0.0,100.0,M
397,CALAY,81.82,18.180000000000007,F
398,DAJANY,100.0,0.0,F
399,ABDANAJAB,0.0,100.0,M
400,ESR,60.0,40.0,F
401,NAGAR,80.0,20.0,F
402,VALAT,90.91,9.090000000000003,F
403,BALAR,57.14,42.86,F
404,NACLAL,100.0,0.0,F
405,ESTANASLAD,50.0,50.0,N
406,DALANAR,75.0,25.0,F
407,ANATHNY,0.0,100.0,M
408,JYDAN,34.38,65.62,M
409,CALY,84.58,15.420000000000002,F
410,FALDAR,0.0,100.0,M
411,LDAR,0.0,100.0,M
412,MALGAN,0.0,100.0,M
413,MALANAL,100.0,0.0,F
414,HANAR,48.0,52.0,M
415,RAPAD,25.0,75.0,M
416,RANPRAT,0.0,100.0,M
417,MARDAR,0.0,100.0,M
418,MAGH,0.0,100.0,M
419,PRANCAJAN,0.0,100.0,M
420,BRAYL,100.0,0.0,F
421,MARADALASANG,100.0,0.0,F
422,EGL,100.0,0.0,F
423,ENALC,100.0,0.0,F
424,OANCANSAL,100.0,0.0,F
425,INDANAS,100.0,0.0,F
426,ERATR,100.0,0.0,F
427,CLABAD,0.0,100.0,M
428,TRANARC,0.0,100.0,M
429,MANRAX,100.0,0.0,F
430,BLYDAN,0.0,100.0,M
431,NARTH,50.0,50.0,N
432,ABALAS,0.0,100.0,M
433,RAFC,100.0,0.0,F
434,CANSAS,75.0,25.0,F
435,CANAT,82.05,17.950000000000006,F
436,WABAR,0.0,100.0,M
437,CANSAPCAN,50.0,50.0,N
438,GANDALF,0.0,100.0,M
439,WACAV,100.0,0.0,F
440,JAGAYLAN,0.0,100.0,M
441,ALDRAG,0.0,100.0,M
442,CATHRAC,0.0,100.0,M
443,LAFACY,100.0,0.0,F
444,TASB,100.0,0.0,F
445,JADAC,28.57,71.43,M
446,DAPSAC,100.0,0.0,F
447,ILDAC,100.0,0.0,F
448,ILSY,100.0,0.0,F
449,PRASLY,75.0,25.0,F
450,ADANACAL,0.0,100.0,M
451,ACSAT,60.0,40.0,F
452,DANALY,92.86,7.1400000000000015,F
453,SANANTAGRAC,100.0,0.0,F
454,BYRAN,0.0,100.0,M
455,AVARAC,0.0,100.0,M
456,RANWAC,0.0,100.0,M
457,JYDANJAN,0.0,100.0,M
458,QWANAL,0.0,100.0,M
459,DYAS,100.0,0.0,F
460,TWANAS,100.0,0.0,F
461,AWN,100.0,0.0,F
462,ANTAJ,100.0,0.0,F
463,UARD,100.0,0.0,F
464,QANLY,100.0,0.0,F
465,PYCY,100.0,0.0,F
466,CALVAD,0.0,100.0,M
467,CLYTAN,16.67,83.33,M
468,WANTFAD,0.0,100.0,M
469,DACALAN,50.0,50.0,N
470,GATY,50.0,50.0,N
471,NACH,50.0,50.0,N
472,TSAVY,100.0,0.0,F
473,ARSJAN,0.0,100.0,M
474,TAY,81.25,18.75,F
475,BANAD,0.0,100.0,M
476,HANADY,100.0,0.0,F
477,OLAB,100.0,0.0,F
478,GARARDAT,100.0,0.0,F
479,LANANTY,0.0,100.0,M
480,ANWAN,50.0,50.0,N
481,HAND,60.0,40.0,F
482,LADASLAD,0.0,100.0,M
483,GARWAN,0.0,100.0,M
484,SASANTH,0.0,100.0,M
485,TRAVARS,0.0,100.0,M
486,SARANLY,100.0,0.0,F
487,NASJ,100.0,0.0,F
